Variable,Mean_0,Median_0,Q1_0,Q3_0,Shapiro_p_0,Mode_0,Mean_1,Median_1,Q1_1,Q3_1,Shapiro_p_1,Mode_1,Levene_p
ABC,109.5787721090885,100.18119900780425,83.0454643351618,132.71872469735933,6.686032114551356e-22,73.1384812229081,120.13567190793786,116.18543526109282,89.39909749762116,146.2725200776399,3.2498121928661804e-14,66.3670732395647,0.010178454188159233
ABCGG,84.33413377362349,77.78691910247773,65.7410949348635,100.37296175469541,3.1265776995923657e-21,73.39126181226752,91.62380316922331,88.94894917269556,69.94605741476877,108.86483218208478,6.403128173917e-14,68.8798349275075,0.00829391085387676
nAcid,1.3977695167286246,1.0,1.0,2.0,1.1722210771629055e-41,1.0,1.359039190897598,1.0,1.0,2.0,3.0540539185598764e-40,1.0,0.31312803089885166
nBase,7.781908302354399,6.0,4.0,9.0,7.304439927076181e-32,5.0,7.814159292035399,6.0,4.0,10.0,4.104687389832956e-26,5.0,0.020224882266287735
SpAbs_A,179.79200175675751,164.29857142387942,135.5242347159048,217.25403593948184,1.1898214269014792e-21,151.54391772862962,196.97343288705414,190.91428968483856,146.9536890162792,237.8809457386972,6.681123250001319e-14,139.8223596840011,0.006004166655342853
SpAD_A,179.79200175675751,164.29857142387948,135.5242347159048,217.25403593948184,1.1898214269014792e-21,151.54391772862962,196.97343288705412,190.91428968483856,146.9536890162792,237.8809457386972,6.681123250000328e-14,139.8223596840011,0.006004166655342853
LogEE_A,5.823887557777613,5.778891856226144,5.591192986859943,6.055842800850595,2.7003597391756937e-12,5.462790587319452,5.915470304650876,5.926223558344075,5.664863616562094,6.150636453287619,2.0956351661289377e-08,5.397024593304145,0.21740345888276946
VE1_A,6.486718676604917,6.4679012159855045,4.903098791125265,7.669660210675096,1.183888436202142e-19,4.762488802091392,6.229556843174429,5.736060110087481,4.912499795186305,7.341884516505861,2.0659692598768093e-20,4.688993291076817,0.21256209248609972
VE3_A,4.493364497784081,4.4854274403142975,4.231514251708274,4.734708300607208,3.209229065721635e-07,4.086499033491411,4.543353383490918,4.541896754888023,4.271017930969183,4.803081427745385,2.8005494548267864e-05,4.006551794984316,0.6845879387687491
VR1_A,16245242994532.48,276892.75923430384,15704.933466392231,2500703.857475496,8.246105572570479e-53,1184774.7936375926,11894973135293.13,1180469.8866485092,37758.56851818324,127927634.75403935,2.486528996651879e-52,12340.084361300604,0.6879300573442149
